Volcano Number,Volcano Name,Eruption Number,Start Year,Start Month,Latitude,Longitude
290380,Ebeko,18879,2010,7,50.686,156.014
290270,Ekarma,18833,2010,6,48.958,153.93
344020,San Cristobal,10897,2010,6,12.702,-87.004
300070,Gorely,19026,2010,6,52.559,158.03
311240,Cleveland,19819,2010,5,52.825,-169.944
284193,South Sarigan Seamount,18529,2010,5,16.58,145.78
252120,Ulawun,15077,2010,5,-5.05,151.33
300250,Bezymianny,19388,2010,5,55.972,160.595
284170,Pagan,18524,2010,5,18.13,145.8
284040,Miyakejima,18282,2010,4,34.094,139.526
211060,Etna,13853,2010,4,37.748,14.999
282090,Kirishimayama,17165,2010,3,31.934,130.862
372020,Eyjafjallajokull,12563,2010,3,63.633,-19.633
284130,Fukutoku-Oka-no-Ba,18469,2010,2,24.285,141.481
263300,Semeru,22218,2010,1,-8.108,112.922
345070,Turrialba,11247,2010,1,10.025,-83.767
223020,Nyamuragira,14085,2010,1,-1.408,29.2
352080,Tungurahua,11644,2010,1,-1.467,-78.442
300250,Bezymianny,19387,2009,12,55.972,160.595
344120,Concepcion,11080,2009,12,11.538,-85.622
357120,Villarrica,12184,2009,11,-39.42,-71.93
345040,Poas,11193,2009,11,10.2,-84.233
282090,Kirishimayama,17164,2009,11,31.934,130.862
233020,"Fournaise, Piton de la",14391,2009,11,-21.244,55.708
311240,Cleveland,19828,2009,10,52.825,-169.944
257020,Gaua,15231,2009,9,-14.27,167.5
263200,Dieng Volcanic Complex,15793,2009,9,-7.2,109.879
252010,Langila,15003,2009,9,-5.525,148.42
273030,Mayon,16819,2009,9,13.257,123.685
344020,San Cristobal,10896,2009,9,12.702,-87.004
300260,Klyuchevskoy,19485,2009,8,56.056,160.642
221115,Manda Hararo,13944,2009,6,12.17,40.82
311240,Cleveland,19827,2009,6,52.825,-169.944
290240,Sarychev Peak,18819,2009,6,48.092,153.2
242050,Monowai,22197,2009,5,-25.887,-177.188
264030,Rinjani,16227,2009,5,-8.42,116.47
263180,Slamet,15765,2009,4,-7.242,109.208
353010,Fernandina,11677,2009,4,-0.37,-91.55
284040,Miyakejima,18281,2009,4,34.094,139.526
261170,Kerinci,15533,2009,4,-1.697,101.264
262000,Krakatau,15633,2009,3,-6.102,105.423
243040,Hunga Tonga-Hunga Ha'apai,14733,2009,3,-20.536,-175.382
313030,Redoubt,20391,2009,3,60.485,-152.742
290380,Ebeko,18878,2009,2,50.686,156.014
357120,Villarrica,12183,2009,1,-39.42,-71.93
283110,Asamayama,17812,2009,1,36.406,138.523
263200,Dieng Volcanic Complex,15792,2009,1,-7.2,109.879
345040,Poas,11192,2009,1,10.2,-84.233
311240,Cleveland,19826,2009,1,52.825,-169.944
261230,Dempo,15575,2009,1,-4.016,103.121
300090,Koryaksky,19045,2008,12,53.321,158.712
267020,Karangetang,16543,2008,11,2.781,125.407
344020,San Cristobal,10895,2008,11,12.702,-87.004
285070,Akan,18707,2008,11,43.384,144.013
243120,Tafu-Maka,14799,2008,11,-15.37,-174.23
243130,West Mata,14800,2008,11,-15.1,-173.75
221060,Alu-Dalafilla,13927,2008,11,13.793,40.553
351050,"Huila, Nevado del",11314,2008,10,2.93,-76.03
357120,Villarrica,12182,2008,10,-39.42,-71.93
390090,Saunders,20902,2008,10,-57.8,-26.483
351080,Galeras,11380,2008,10,1.22,-77.37
300260,Klyuchevskoy,19484,2008,10,56.056,160.642
233020,"Fournaise, Piton de la",14390,2008,9,-21.244,55.708
256010,Tinakula,15210,2008,9,-10.386,165.804
282090,Kirishimayama,17163,2008,8,31.934,130.862
273030,Mayon,16818,2008,8,13.257,123.685
283110,Asamayama,17811,2008,8,36.406,138.523
311130,Kasatochi,19745,2008,8,52.177,-175.508
344120,Concepcion,11077,2008,7,11.538,-85.622
290360,Chikurachki,18860,2008,7,50.324,155.461
352010,Reventador,11449,2008,7,-0.077,-77.656
252070,Krummel-Garbuna-Welcker,15009,2008,7,-5.416,150.027
311290,Okmok,19852,2008,7,53.43,-168.13
300250,Bezymianny,19386,2008,7,55.972,160.595
344040,Telica,10943,2008,7,12.606,-86.84
241130,Rumble III,14676,2008,7,-35.745,178.478
344020,San Cristobal,10894,2008,6,12.702,-87.004
263340,Raung,16166,2008,6,-8.119,114.056
266030,Soputan,16439,2008,6,1.112,124.737
353060,"Azul, Cerro",11720,2008,5,-0.92,-91.408
257040,Ambrym,15297,2008,5,-16.25,168.12
260010,Barren Island,15387,2008,5,12.278,93.858
211060,Etna,13852,2008,5,37.748,14.999
284040,Miyakejima,18280,2008,5,34.094,139.526
358041,Chaiten,12271,2008,5,-42.833,-72.646
344100,Masaya,11042,2008,4,11.984,-86.161
264160,Egon,16278,2008,4,-8.676,122.455
268030,Ibu,16582,2008,4,1.488,127.63
261170,Kerinci,15532,2008,3,-1.697,101.264
252070,Krummel-Garbuna-Welcker,15008,2008,3,-5.416,150.027
312070,Veniaminof,20178,2008,2,56.17,-159.38
282110,Asosan,17351,2008,2,32.884,131.104
242050,Monowai,14723,2008,2,-25.887,-177.188
345040,Poas,11191,2008,1,10.2,-84.233
390090,Saunders,20899,2008,1,-57.8,-26.483
284040,Miyakejima,18279,2008,1,34.094,139.526
351050,"Huila, Nevado del",11313,2008,1,2.93,-76.03
357110,Llaima,12077,2008,1,-38.692,-71.729
261160,Talang,15499,2007,11,-0.979,100.681
284200,Anatahan,18538,2007,11,16.35,145.67
344120,Concepcion,11076,2007,11,11.538,-85.622
344020,San Cristobal,10893,2007,11,12.702,-87.004
344040,Telica,10942,2007,10,12.606,-86.84
262000,Krakatau,15626,2007,10,-6.102,105.423
263280,Kelut,15958,2007,10,-7.93,112.308
351080,Galeras,11379,2007,10,1.22,-77.37
221010,"Tair, Jebel at",13923,2007,9,15.55,41.83
241100,Ruapehu,14669,2007,9,-39.28,175.57
261170,Kerinci,15531,2007,9,-1.697,101.264
252080,Witori,15029,2007,8,-5.576,150.516
290360,Chikurachki,18859,2007,8,50.324,155.461
312030,Pavlof,20153,2007,8,55.417,-161.894
221115,Manda Hararo,13943,2007,8,12.17,40.82
263340,Raung,16165,2007,7,-8.119,114.056
268040,Gamkonora,16595,2007,7,1.38,127.53
311240,Cleveland,19825,2007,6,52.825,-169.944
266030,Soputan,16438,2007,6,1.112,124.737
222120,"Lengai, Ol Doinyo",13828,2007,6,-2.764,35.914
357110,Llaima,12076,2007,5,-38.692,-71.729
251070,Ritter Island,14977,2007,5,-5.519,148.115
300250,Bezymianny,19385,2007,5,55.972,160.595
252120,Ulawun,15075,2007,5,-5.05,151.33
257050,Lopevi,15322,2007,4,-16.507,168.346
255060,Kavachi,15180,2007,4,-8.991,157.979
283040,Ontakesan,20962,2007,3,35.893,137.48
211060,Etna,13849,2007,3,37.748,14.999
261160,Talang,15498,2007,3,-0.979,100.681
352010,Reventador,11448,2007,3,-0.077,-77.656
290360,Chikurachki,18858,2007,3,50.324,155.461
351050,"Huila, Nevado del",11312,2007,2,2.93,-76.03
300260,Klyuchevskoy,19483,2007,2,56.056,160.642
344120,Concepcion,11075,2007,2,11.538,-85.622
264260,"Tara, Batu",16353,2007,1,-7.791,123.585
233010,Karthala,14208,2007,1,-11.75,43.38
266030,Soputan,16434,2006,12,1.112,124.737
242050,Monowai,14722,2006,12,-25.887,-177.188
344040,Telica,10940,2006,12,12.606,-86.84
284170,Pagan,18522,2006,12,18.13,145.8
223020,Nyamuragira,14084,2006,11,-1.408,29.2
311161,Korovin,19768,2006,11,52.381,-174.166
257040,Ambrym,15296,2006,11,-16.25,168.12
251070,Ritter Island,14976,2006,10,-5.519,148.115
273010,Bulusan,16771,2006,10,12.769,124.056
241100,Ruapehu,14668,2006,10,-39.28,175.57
261230,Dempo,15574,2006,9,-4.016,103.121
345040,Poas,11190,2006,9,10.2,-84.233
312260,Fourpeaked,20250,2006,9,58.77,-153.672
261160,Talang,15497,2006,9,-0.979,100.681
344120,Concepcion,11074,2006,9,11.538,-85.622
284040,Miyakejima,18278,2006,8,34.094,139.526
252140,Rabaul,15100,2006,8,-4.271,152.203
252010,Langila,15002,2006,8,-5.525,148.42
243080,Home Reef,14771,2006,8,-18.992,-174.775
344100,Masaya,11041,2006,8,11.984,-86.161
344040,Telica,10939,2006,8,12.606,-86.84
233020,"Fournaise, Piton de la",14389,2006,7,-21.244,55.708
211060,Etna,13848,2006,7,37.748,14.999
273030,Mayon,16817,2006,7,13.257,123.685
267020,Karangetang,16541,2006,7,2.781,125.407
390090,Saunders,13221,2006,6,-57.8,-26.483
272020,Kanlaon,16638,2006,6,10.412,123.132
233010,Karthala,14207,2006,5,-11.75,43.38
355100,Lascar,11878,2006,4,-23.37,-67.73
300250,Bezymianny,19384,2006,4,55.972,160.595
354020,Ubinas,11791,2006,3,-16.355,-70.903
345040,Poas,11189,2006,3,10.2,-84.233
285070,Akan,18704,2006,3,43.384,144.013
273010,Bulusan,16770,2006,3,12.769,124.056
284200,Anatahan,18537,2006,3,16.35,145.67
242030,Raoul Island,14702,2006,3,-29.27,-177.92
263250,Merapi,15923,2006,3,-7.54,110.446
234010,Heard,14412,2006,3,-53.106,73.513
342110,Pacaya,22213,2006,3,14.382,-90.601
312070,Veniaminof,20177,2006,3,56.17,-159.38
252120,Ulawun,15074,2006,3,-5.05,151.33
273030,Mayon,16816,2006,2,13.257,123.685
284040,Miyakejima,18277,2006,2,34.094,139.526
256010,Tinakula,15209,2006,2,-10.386,165.804
311240,Cleveland,19818,2006,2,52.825,-169.944
266030,Soputan,16433,2005,12,1.112,124.737
266020,Ambang,20947,2005,12,0.75,124.42
211060,Etna,13847,2005,12,37.748,14.999
313010,Augustine,20273,2005,12,59.363,-153.43
300250,Bezymianny,19383,2005,11,55.972,160.595
257030,Ambae,15237,2005,11,-15.4,167.83
233010,Karthala,14206,2005,11,-11.75,43.38
351080,Galeras,11378,2005,11,1.22,-77.37
344020,San Cristobal,10892,2005,11,12.702,-87.004
257050,Lopevi,15321,2005,10,-16.507,168.346
353050,"Negra, Sierra",11713,2005,10,-0.83,-91.17
252070,Krummel-Garbuna-Welcker,15007,2005,10,-5.416,150.027
233020,"Fournaise, Piton de la",14388,2005,10,-21.244,55.708
